Name,Adversity Index,Socioeconomic_Score,Socioeconomic_Evidence,Environmental_Score,Environmental_Evidence,ResourceAccess_Score,ResourceAccess_Evidence,Instability_Score,Instability_Evidence,Physical_Score,Physical_Evidence,Physical_Evidence,Underrated_Score,Underrated_Evidence,Geographic_Score,Geographic_Evidence
Kyshawn George,31,4,1,4,4,0,0,1,1,3,2,4,5,0,0,2
Tyon Grant-Foster,23,1,0,1,4,0,5,0,1,3,2,0,4,2,0,0
PJ Hall,41,0,3,2,5,2,5,0,0,3,3,4,2,4,4,4
Blake Hinson,36,2,1,4,2,2,2,1,1,5,0,1,4,2,5,4
Ron Holland II,30,1,3,0,1,4,3,3,4,2,0,1,0,5,3,0
DaRon Holmes II,43,1,4,5,3,4,1,4,2,5,1,2,4,0,5,2
Ariel Hukporti,36,2,0,5,0,5,3,4,0,4,5,0,2,0,3,3
Oso Ighodaro,34,2,3,0,4,0,3,5,1,1,1,2,5,5,2,0
Harrison Ingram,36,1,0,5,0,0,2,2,5,1,5,3,4,4,4,0
Bronny James,30,2,3,3,2,3,3,4,0,1,4,3,0,0,2,0
AJ Johnson,41,3,5,0,2,4,1,0,5,2,4,4,4,2,4,1
Keshad Johnson,35,4,1,1,5,3,4,2,3,0,2,0,0,4,3,3
David Jones,30,1,4,0,3,1,1,5,3,0,0,1,4,5,2,0
Isaac Jones,32,3,3,0,4,4,3,3,0,4,0,0,2,1,5,0
Dillon Jones,35,5,3,3,3,2,0,2,0,2,5,1,4,0,3,2
Bobi Klintman,28,3,0,3,2,0,1,4,0,0,4,1,5,0,5,0
Dalton Knecht,32,4,0,4,3,4,1,5,0,3,5,0,0,0,1,2
Tyler Kolek,47,3,4,4,4,4,5,4,3,5,2,1,2,2,3,1
Pelle Larsson,29,1,0,4,2,1,0,2,1,3,1,5,2,1,5,1
Jared McCain,31,1,3,5,4,5,0,2,4,3,0,1,0,1,0,2
Kevin McCullar Jr.,20,4,2,3,2,0,3,0,3,0,1,0,0,0,2,0
Judah Mintz,40,5,0,5,0,5,3,1,5,0,5,0,4,1,5,1
Yves Missi,31,3,3,2,0,5,3,1,5,0,3,0,2,0,1,3
Ajay Mitchell,41,2,3,2,3,2,2,4,0,5,4,0,1,5,4,4
Jonathan Mogbo,39,4,5,1,0,4,4,4,1,1,2,2,5,3,1,2
Grant Nelson,27,5,0,0,2,2,2,0,0,0,5,4,2,0,4,1
Tristen Newton,41,1,5,1,1,5,4,2,5,3,4,0,4,2,3,1
Juan Nunez,23,0,0,0,1,5,3,2,1,0,1,4,1,0,1,4
Quinten Post,27,1,5,0,0,2,1,1,3,3,1,0,0,2,5,3
Zyon Pullin,34,2,2,1,3,2,0,1,4,1,5,0,0,5,4,4
Antonio Reeves,30,1,2,3,1,3,2,0,3,1,4,5,2,0,3,0
Zaccharie Risacher,33,0,3,3,5,1,1,1,4,0,5,0,3,3,1,3
Mantas Rub_tavi_ius,38,3,4,2,3,2,5,0,2,4,5,1,3,0,4,0
Tidjane Salaun,34,3,0,4,5,2,1,0,2,1,3,4,2,1,3,3
Alexandre Sarr,32,5,5,0,4,1,2,2,0,4,1,1,1,3,0,3
Baylor Scheierman,34,2,3,1,3,3,2,0,2,5,0,0,0,5,5,3
Terrence Shannon Jr.,35,1,1,0,4,3,4,2,0,2,4,3,1,1,5,4
Jamal Shead,43,2,3,3,1,4,3,3,1,3,4,5,1,0,5,5
Reed Sheppard,41,4,1,3,5,1,2,5,0,2,4,2,1,2,5,4
KJ Simpson,41,4,4,1,0,4,3,0,0,1,4,0,5,5,5,5
Tyler Smith,41,1,3,4,0,5,2,1,4,3,0,3,0,5,5,5
Cam Spencer,43,2,2,1,3,3,5,2,1,1,5,1,2,5,5,5
NaeÕqwan Tomlin,38,5,5,4,3,2,0,1,2,1,0,1,4,3,4,3
Nikola Topic,29,3,2,0,4,4,1,2,2,2,0,2,4,1,1,1
Jaylon Tyson,39,3,0,4,0,3,1,2,4,2,4,2,5,4,3,2
DJ Wagner,34,2,3,3,2,0,3,1,0,4,4,4,5,0,3,0
JaÕKobe Walter,35,1,3,1,2,4,3,2,2,0,5,0,5,1,4,2
Kel'el Ware,38,0,5,4,0,4,1,0,4,4,4,1,2,4,0,5
Anton Watson,43,3,4,1,4,3,5,5,4,0,4,3,0,0,4,3
Jaylen Wells,46,5,2,4,4,2,3,5,4,4,0,3,5,0,0,5
Cody Williams,23,0,3,4,0,0,2,0,3,5,0,1,3,0,0,2
Tristan da Silva,29,1,0,4,2,0,1,0,5,0,5,4,0,0,2,5
nan,28,2,0,0,0,0,5,4,3,5,0,4,1,1,1,2
Efe Abogidi,23,3,4,1,1,1,1,0,1,0,2,5,1,2,1,0
Amari Bailey,45,0,4,3,5,3,4,1,3,0,2,4,5,5,1,5
Emoni Bates,38,3,0,5,3,3,3,1,1,2,3,3,4,2,0,5
Tarik Biberovic,34,3,0,0,1,5,0,0,4,3,3,4,1,5,4,1
Anthony Black,38,1,1,3,3,1,0,4,4,4,1,4,2,0,5,5
Kobe Brown,46,0,4,1,4,3,3,4,5,3,4,3,0,5,2,5
Kobe Bufkin,41,4,0,4,5,4,4,0,0,1,4,4,0,5,4,2
Toumani Camara,33,4,0,0,4,3,3,1,2,1,2,3,5,0,0,5
Colin Castleton,46,5,5,2,0,0,3,5,4,3,3,5,1,0,5,5
Sidy Cissoko,38,0,4,2,1,4,4,2,5,4,0,4,5,0,2,1
Jaylen Clark,24,3,4,2,0,3,1,3,0,2,4,1,0,0,1,0
Noah Clowney,27,0,1,2,0,1,3,3,4,2,3,1,2,2,1,2
Bilal Coulibaly,35,5,2,0,5,4,3,4,3,1,1,2,0,2,1,2
Ricky Council IV,46,3,1,5,4,5,3,2,2,3,4,2,3,4,0,5
Gradey Dick,37,3,5,0,4,2,1,3,1,3,1,3,2,3,1,5
Nikola Durisic,41,1,4,3,2,1,4,1,4,3,2,1,1,4,5,5
Tosan Evbuomwan,46,5,5,2,4,4,5,1,0,5,3,0,2,2,4,4
Adam Flagler,40,4,5,4,1,5,3,5,0,4,2,1,4,0,0,2
Keyonte George,40,3,4,5,2,5,0,0,4,5,3,4,2,3,0,0
Jazian Gortman,25,2,2,2,2,5,0,1,0,2,0,3,0,2,3,1
Mouhamed Gueye,38,2,4,5,3,4,2,3,1,4,0,2,1,5,1,1
Jordan Hawkins,35,3,3,2,5,0,1,3,4,4,0,3,2,0,3,2
Scoot Henderson,34,3,3,0,1,4,5,3,4,0,1,0,1,3,5,1
Taylor Hendricks,46,3,5,4,4,2,5,1,4,4,0,5,4,5,0,0
Jalen Hood-Schifino,48,4,3,2,5,5,4,3,2,3,4,5,2,2,3,1
Jett Howard,45,4,2,3,0,5,5,2,2,5,4,3,1,5,2,2
Zvonimir Ivisic,36,1,5,5,2,2,1,4,1,0,0,0,3,3,5,4
Gregory Jackson II,37,2,5,5,0,2,3,5,2,1,0,2,4,1,4,1
Andre Jackson Jr.,45,2,5,4,4,5,3,5,3,3,3,4,0,3,0,1
Trayce Jackson-Davis,37,1,4,0,1,5,2,2,1,2,5,2,4,4,1,3
Jaime Jaquez Jr.,29,3,1,2,2,1,5,2,3,1,0,3,1,1,0,4
Keyontae Johnson,45,3,3,4,3,0,5,3,4,2,4,3,4,4,2,1
Colby Jones,27,4,0,1,0,1,2,0,3,1,4,4,1,4,0,2
Mojave King,33,5,4,0,3,1,0,2,2,3,1,3,0,2,5,2
Maxwell Lewis,43,3,4,0,0,4,0,5,4,2,2,4,5,3,3,4
Dereck Lively II,34,3,5,1,3,0,1,2,4,0,4,5,1,0,5,0
Chris Livingston,32,2,0,3,4,0,2,3,2,3,5,0,0,3,2,3
Seth Lundy,39,4,0,0,3,1,3,3,4,4,5,1,2,1,3,5
Mike Miles Jr.,52,2,1,4,5,1,4,5,5,3,1,4,5,5,2,5
Brandon Miller,43,5,1,4,2,3,3,1,1,3,1,5,3,2,5,4
Jordan Miller,41,4,0,2,3,2,2,2,4,4,1,5,2,5,4,1
Leonard Miller,31,3,4,4,1,3,1,4,0,0,1,5,0,0,2,3
Omari Moore,37,2,2,5,0,5,0,5,3,2,2,4,0,0,3,4
Kris Murray,44,1,1,3,4,5,4,1,1,3,2,4,3,3,4,5
James Nnaji,40,5,2,0,4,4,5,3,2,1,2,0,5,2,5,0
Julian Phillips,38,3,2,2,5,1,2,4,1,3,3,3,2,3,2,2
Jalen Pickett,28,2,1,4,2,1,3,2,0,2,2,3,0,0,3,3
Brandin Podziemski,47,3,2,0,5,5,4,4,3,2,2,2,1,4,5,5
Olivier-Maxence Prosper,44,1,1,4,5,4,4,2,3,0,2,3,5,0,5,5
Rayan Rupert,42,5,4,0,1,1,4,4,5,5,4,5,2,0,2,0
Adama Sanogo,42,1,1,3,0,4,2,5,1,4,5,2,1,5,4,4
Marcus Sasser,32,3,1,0,3,2,2,0,2,5,0,2,1,2,4,5
Baylor Scheierman,35,1,0,2,3,3,0,5,1,5,4,1,1,5,1,3
Brice Sensabaugh,38,5,3,1,1,1,5,0,5,1,2,4,3,1,5,1
Ben Sheppard,43,2,0,2,3,4,1,4,2,5,3,5,4,3,0,5
Jalen Slawson,31,4,1,1,3,2,2,0,2,5,5,0,0,1,0,5
Terquavion Smith,38,4,3,2,1,0,5,4,0,3,1,4,4,3,3,1
Nick Smith Jr.,41,4,4,2,1,5,0,2,1,5,3,0,4,3,4,3
Julian Strawther,43,0,3,4,5,3,5,1,3,5,4,1,3,4,1,1
Ausar Thompson,29,1,5,1,0,4,0,1,2,0,0,4,5,1,3,2
Amen Thompson,44,4,5,2,0,2,5,2,3,0,2,5,3,4,2,5
Drew Timme,41,1,5,3,5,4,2,3,4,0,5,3,0,0,3,3
Oscar Tshiebwe,31,4,4,2,1,3,1,0,2,2,2,0,1,1,4,4
Azuolas Tubelis,46,4,2,2,2,2,4,4,4,4,4,3,4,1,5,1
Hunter Tyson,38,5,3,5,3,0,2,4,0,0,2,3,5,3,0,3
Tristan Vukcevic,39,3,5,3,1,3,1,0,5,0,5,5,3,1,3,1
Jarace Walker,35,2,3,1,5,1,1,4,3,0,5,4,1,0,4,1
Cason Wallace,34,3,0,1,0,4,3,0,3,5,4,2,0,4,3,2
Jordan Walsh,41,2,1,5,0,1,5,1,2,5,4,3,1,4,3,4
Victor Wembanyama,41,0,3,0,4,3,3,2,1,5,2,5,4,0,5,4
Dariq Whitehead,40,4,1,4,3,5,2,4,1,0,5,4,2,0,1,4
Cam Whitmore,35,2,1,4,3,4,0,0,3,2,0,0,5,4,2,5
Jalen Wilson,28,0,1,4,0,3,2,0,0,1,5,1,4,2,0,5
Isaiah Wong,43,1,5,3,2,1,5,4,4,1,5,1,3,4,3,1
nan,40,0,5,2,2,1,3,4,5,3,5,2,3,0,4,1
Ochai Agbaji,54,4,5,5,3,5,5,4,5,1,2,3,1,2,4,5
Ibou Dianko Badji,36,4,5,3,3,0,4,2,1,2,2,1,5,1,0,3
Patrick Baldwin Jr.,26,2,5,3,1,3,0,4,1,0,1,4,1,1,0,0
Paolo Banchero,41,0,4,4,4,2,3,2,4,4,2,1,3,2,4,2
Dominick Barlow,32,1,1,2,0,2,4,4,4,2,0,0,0,5,4,3
MarJon Beauchamp,42,5,4,1,0,1,4,5,0,5,5,3,1,4,3,1
Hugo Besson,42,5,4,4,1,3,1,2,3,4,0,5,2,2,3,3
Jamaree Bouyea,35,3,1,2,5,2,0,5,0,0,4,5,2,0,5,1
Malaki Branham,42,3,3,3,5,2,5,1,4,4,5,0,2,5,0,0
Christian Braun,31,0,0,4,1,0,5,3,5,3,2,2,0,0,3,3
Kendall Brown,43,1,3,5,3,4,0,5,3,2,3,0,3,3,4,4
Gabe Brown,36,3,5,4,3,5,0,0,1,1,0,4,5,4,1,0
Tevin Brown,25,3,5,1,3,4,3,1,0,0,1,1,0,1,0,2
John Butler,30,0,4,4,0,2,4,5,0,5,4,0,0,2,0,0
Julian Champagnie,28,4,0,3,1,1,0,2,2,0,2,5,3,0,0,5
Kennedy Chandler,37,0,3,3,5,0,4,0,0,4,4,3,5,1,5,0
Max Christie,43,2,5,5,3,4,3,1,1,1,5,1,2,4,2,4
Kofi Cockburn,25,0,1,2,3,1,0,0,0,0,4,4,3,2,5,0
Dyson Daniels,39,5,0,2,3,1,3,2,5,0,5,4,4,1,2,2
Johnny Davis,35,4,5,3,3,2,3,2,1,0,0,2,5,1,1,3
JD Davison,42,5,3,3,0,3,4,4,4,1,5,0,1,5,1,3
Moussa Diabate,28,3,2,1,3,2,2,2,1,0,4,4,0,4,0,0
Ousmane Dieng,36,0,5,2,0,1,5,4,4,0,4,4,1,1,2,3
Khalifa Diop,32,5,3,3,5,4,1,0,3,1,1,0,0,5,1,0
Jalen Duren,33,4,5,3,0,3,4,0,4,2,2,3,0,2,1,0
Tari Eason,43,4,3,1,0,2,5,1,1,3,5,5,4,1,4,4
Keon Ellis,34,5,0,4,0,5,1,2,1,4,0,5,2,0,4,1
Michael Foster Jr.,50,4,0,2,5,4,0,4,5,5,2,2,5,4,3,5
A.J. Griffin,35,2,4,2,2,4,1,5,4,5,0,1,0,2,2,1
Jordan Hall,38,5,5,0,2,1,5,5,1,1,1,1,2,4,5,0
Jaden Hardy,33,2,2,4,4,1,2,5,1,1,1,3,2,2,0,3
Ron Harper Jr.,33,4,1,3,3,1,2,2,1,1,2,1,2,5,4,1
Chet Holmgren,27,5,3,0,4,1,3,4,1,1,3,0,0,0,1,1
Caleb Houstan,39,3,3,4,0,2,2,2,0,5,0,5,1,3,4,5
Ariel Hukporti,39,3,3,4,4,3,3,0,1,5,3,0,3,2,5,0
Jaden Ivey,29,0,3,1,1,2,4,0,3,2,0,5,1,3,3,1
Nikola Jovic,45,4,3,1,2,3,3,5,0,0,3,5,4,2,5,5
Johnny Juzang,37,1,1,3,2,3,4,1,4,2,5,0,3,5,3,0
Ismael Kamagate,45,4,5,5,1,5,2,4,5,4,0,0,2,4,3,1
Trevor Keels,42,3,3,5,4,5,5,2,2,1,3,0,1,2,5,1
Walker Kessler,30,2,3,1,1,3,4,0,1,3,4,4,2,2,0,0
Christian Koloko,42,2,5,2,2,0,5,4,4,2,3,2,4,1,1,5
Jake LaRavia,41,5,1,5,2,5,2,2,5,1,1,5,2,3,0,2
Justin Lewis,34,1,4,4,0,0,2,2,1,2,0,5,2,4,4,3
EJ Liddell,31,0,0,5,2,1,1,4,3,0,2,3,2,5,3,0
Tyrese Martin,30,3,3,1,1,1,0,1,5,4,2,2,5,2,0,0
Bennedict Mathurin,35,5,5,5,3,1,0,2,2,1,5,0,3,0,0,3
Karlo Matkovi_,40,4,3,1,3,2,4,5,4,1,1,3,2,5,2,0
Bryce McGowens,53,5,3,4,5,4,4,3,5,4,3,4,5,3,1,0
Leonard Miller,46,4,5,0,3,3,5,0,2,4,4,4,1,5,3,3
Josh Minott,32,0,3,0,4,1,0,0,4,1,3,5,0,1,5,5
Isaiah Mobley,45,1,5,0,5,4,5,4,0,3,2,1,5,5,0,5
Aminu Mohammed,23,3,0,2,3,0,3,1,0,2,4,0,0,0,5,0
Iverson Molinar,52,4,5,5,3,5,0,5,4,2,4,1,5,1,5,3
Jean Montero,37,4,4,5,0,1,1,5,2,0,0,3,1,2,4,5
Wendell Moore Jr.,29,1,3,2,3,0,1,0,1,5,5,1,0,0,4,3
Keegan Murray,39,2,4,5,2,5,0,4,5,2,0,0,4,2,3,1
Andrew Nembhard,34,0,3,2,0,0,4,3,2,5,4,5,0,1,1,4
Yannick Nzosa,35,4,3,4,0,2,5,0,0,2,5,1,2,2,5,0
Scotty Pippen Jr.,26,2,5,5,0,2,0,1,1,0,0,4,3,1,0,2
Gabriele Procida,42,5,4,0,5,2,1,4,4,2,5,2,5,0,3,0
Orlando Robinson,21,0,0,0,1,1,1,4,0,3,0,4,2,2,2,1
David Roddy,44,1,4,3,1,3,3,0,5,3,3,5,4,3,2,4
Ryan Rollins,33,5,5,0,2,3,5,2,1,1,4,0,1,2,2,0
Gui Santos,39,1,5,1,3,0,4,0,2,1,4,2,3,5,3,5
Dereon Seaborn,26,0,5,0,0,2,1,1,3,0,5,1,5,2,1,0
Shaedon Sharpe,36,0,0,2,1,5,5,3,0,2,2,3,2,5,4,2
Jabari Smith,28,3,2,3,1,5,0,1,1,4,1,0,2,5,0,0
Jeremy Sochan,31,3,0,3,1,5,2,5,1,5,0,0,1,3,1,1
Kai Sotto,35,0,4,2,1,5,3,1,5,2,0,3,1,0,4,4
Matteo Spagnolo,33,1,3,1,5,2,1,5,2,0,1,0,4,1,3,4
Dalen Terry,37,0,5,0,4,3,5,5,2,0,4,3,1,2,0,3
Luke Travers,52,2,4,4,4,4,5,5,5,2,5,1,4,4,2,1
Jabari Walker,38,0,2,4,0,3,3,2,1,5,5,1,0,3,4,5
TyTy Washington Jr.,35,3,3,5,3,0,5,4,0,5,2,0,1,0,4,0
Peyton Watson,49,5,1,5,3,4,2,2,1,4,5,3,3,1,5,5
Blake Wesley,31,0,2,1,0,0,4,0,2,5,5,2,1,4,1,4
Alondes Williams,32,0,2,0,4,1,0,1,2,5,3,3,5,0,4,2
Jaylin Williams,37,1,5,5,1,2,0,0,1,5,0,5,5,2,1,4
Jalen Williams,32,1,4,0,2,2,1,4,0,3,1,1,5,3,5,0
Trevion Williams,45,1,0,3,3,2,5,4,5,5,5,1,5,2,2,2
Mark Williams,25,0,3,0,0,2,2,0,5,0,0,2,2,3,2,4
Bryson Williams,29,2,0,1,1,2,3,5,2,2,4,4,0,1,0,2
Vince Williams Jr.,29,4,1,1,3,1,0,4,5,0,3,4,0,2,0,1
Harold Yu,32,3,1,0,1,5,3,4,1,0,5,2,0,4,0,3
nan,34,0,1,3,4,3,3,2,4,1,5,0,0,3,0,5
Santi Aldama,41,5,5,2,3,3,3,3,1,4,1,1,5,3,2,0
Derrick Alston Jr.,40,0,5,2,4,2,4,4,5,1,4,2,4,0,3,0
Joel Ayayi,44,5,4,4,2,3,0,3,2,0,4,1,5,5,1,5
Dalano Banton,36,5,0,1,4,0,5,2,3,4,0,5,1,2,2,2
Scottie Barnes,42,0,5,2,1,5,2,5,4,5,2,0,5,4,0,2
Charles Bassey,44,0,4,1,1,5,2,5,2,4,4,5,5,5,1,0
Juhann Begarin,34,3,4,4,4,0,0,1,0,5,0,3,5,4,1,0
Vrenz Bleijenbergh,37,5,4,1,3,2,1,0,3,5,2,4,0,5,1,1
BJ Boston,33,2,3,5,4,1,4,4,3,0,0,5,0,1,1,0
